exp.name	strain	spore.strain	spore.species	dose	spores	fixing.date	slide	file	worm.number	area	percent.infected	area.infected	timepoint
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	20	46688.57	21.8	10178.10826	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	21	59176.73	5.46	3231.049458	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	22	67218.55	0	0	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	23	47889.82	8.86	4243.038052	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	24	71322.73	1.76	1255.280048	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	25	62604.02	0	0	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	26	70474.36	7.76	5468.810336	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep2	1	N2.LUAm1.rep2	1	52920.7	23.62	12499.86934	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep2	1	N2.LUAm1.rep2	2	44998.42	15.33	6898.257786	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep2	1	N2.LUAm1.rep2	3	50605.6	12.54	6345.94224	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep2	1	N2.LUAm1.rep2	4	40139.85	10.12	4062.15282	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep2	1	N2.LUAm1.rep2	5	39481.93	30.04	11860.37177	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep2	1	N2.LUAm1.rep2	6	39812.54	2.19	871.894626	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep2	1	N2.LUAm1.rep2	7	35010.86	36.87	12908.50408	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep2	1	N2.LUAm1.rep2	8	40852.19	5.7	2328.57483	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep2	1	N2.LUAm1.rep2	9	53486.28	12.11	6477.188508	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep2	1	N2.LUAm1.rep2	10	40168.71	0	0	72hpi
N2-LUAm1-1.8	N2	LUAm1	N.ferruginous	pulse-72H	1.8	rep2	1	N2.LUAm1.rep2	11	44596.08	14.02	6252.370416	72hpi
